"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"NIFTYBEES","EQ","22-May-2023","199.82","200.49","200.93","199.05","200.70","200.74","200.52","23,30,996","46,74,12,862.50","27,646","15,44,192","66.25"
"NIFTYBEES","EQ","23-May-2023","200.74","200.05","201.70","200.05","200.90","201.02","201.33","26,12,792","52,60,32,927.63","20,817","19,24,894","73.67"
"NIFTYBEES","EQ","24-May-2023","201.02","201.49","201.50","199.81","200.49","200.24","200.71","24,13,489","48,44,03,871.10","20,505","13,34,548","55.30"
"NIFTYBEES","EQ","25-May-2023","200.24","200.95","200.95","199.26","200.94","200.70","200.04","28,91,537","57,84,36,766.15","23,699","18,75,895","64.88"
"NIFTYBEES","EQ","26-May-2023","200.70","201.89","203.27","200.05","203.05","202.85","202.21","46,84,612","94,72,63,264.57","31,451","31,72,570","67.72"
"NIFTYBEES","EQ","29-May-2023","202.85","202.85","204.80","202.85","203.94","204.14","204.17","38,56,380","78,73,69,226.97","33,111","30,63,530","79.44"
"NIFTYBEES","EQ","30-May-2023","204.14","205.49","205.49","202.53","204.45","204.36","204.30","26,13,440","53,39,26,322.70","20,469","18,67,783","71.47"
"NIFTYBEES","EQ","31-May-2023","204.36","205.49","205.49","203.06","203.60","203.66","203.64","25,88,389","52,70,95,462.28","25,778","18,83,097","72.75"
"NIFTYBEES","EQ","01-Jun-2023","203.66","205.39","205.39","202.11","203.09","202.99","203.35","33,30,182","67,71,82,258.57","31,463","24,23,620","72.78"
"NIFTYBEES","EQ","02-Jun-2023","202.99","204.90","204.90","203.08","203.75","203.84","203.74","21,74,215","44,29,65,997.22","27,402","13,88,527","63.86"
"NIFTYBEES","EQ","05-Jun-2023","203.84","205.39","205.48","203.99","204.30","204.28","204.55","17,07,187","34,92,05,821.71","35,806","12,68,105","74.28"
"NIFTYBEES","EQ","06-Jun-2023","204.28","205.39","205.39","203.45","204.19","204.04","203.90","16,18,597","33,00,32,348.18","26,901","11,12,225","68.72"
"NIFTYBEES","EQ","07-Jun-2023","204.04","205.39","205.45","203.92","205.22","205.34","204.90","21,34,360","43,73,40,725.88","25,383","18,43,201","86.36"
"NIFTYBEES","EQ","08-Jun-2023","205.34","203.92","206.21","203.92","204.51","204.51","205.24","45,15,873","92,68,55,824.74","25,973","30,24,992","66.99"
"NIFTYBEES","EQ","09-Jun-2023","204.51","205.90","205.90","203.85","203.99","204.03","204.27","17,86,159","36,48,53,994.18","25,854","12,29,580","68.84"
"NIFTYBEES","EQ","12-Jun-2023","204.03","204.90","205.45","203.83","204.55","204.46","204.32","13,61,814","27,82,50,443.84","29,903","8,02,791","58.95"
"NIFTYBEES","EQ","13-Jun-2023","204.46","205.48","205.52","204.30","205.52","205.45","205.30","15,63,108","32,08,99,241.52","19,172","11,70,241","74.87"
"NIFTYBEES","EQ","14-Jun-2023","205.45","211.60","211.60","205.08","205.79","205.85","205.71","18,80,167","38,67,73,935.40","21,609","13,55,417","72.09"
"NIFTYBEES","EQ","15-Jun-2023","205.85","206.39","206.39","204.69","205.30","205.31","205.55","26,74,084","54,96,56,023.05","25,917","16,31,829","61.02"
"NIFTYBEES","EQ","16-Jun-2023","205.31","206.39","207.10","205.41","206.71","206.69","206.37","27,70,332","57,17,23,466.75","25,673","20,53,534","74.13"
"NIFTYBEES","EQ","19-Jun-2023","206.69","206.69","208.98","205.51","205.99","205.87","206.20","31,40,978","64,76,68,199.94","30,913","22,93,781","73.03"
"NIFTYBEES","EQ","20-Jun-2023","205.87","205.75","206.75","204.94","206.70","206.50","205.58","30,88,294","63,49,04,832.04","23,408","19,26,425","62.38"
"NIFTYBEES","EQ","21-Jun-2023","206.50","206.04","207.46","206.04","207.02","206.87","206.80","24,08,169","49,80,16,467.67","19,437","16,48,969","68.47"
"NIFTYBEES","EQ","22-Jun-2023","206.87","206.87","207.47","206.08","206.30","206.24","206.66","20,07,192","41,48,11,742.50","24,122","10,90,287","54.32"
"NIFTYBEES","EQ","23-Jun-2023","206.24","212.45","212.45","204.80","205.06","204.98","205.26","21,29,175","43,70,23,814.96","25,929","13,67,873","64.24"
"NIFTYBEES","EQ","26-Jun-2023","204.98","206.25","206.25","204.52","205.31","205.17","205.00","22,17,566","45,46,10,535.35","25,592","17,07,044","76.98"
"NIFTYBEES","EQ","27-Jun-2023","205.17","207.36","207.36","205.36","206.50","206.46","205.87","20,18,085","41,54,66,424.44","18,113","15,55,601","77.08"
"NIFTYBEES","EQ","28-Jun-2023","206.46","207.40","208.56","206.28","208.35","208.18","207.93","39,89,975","82,96,17,945.73","38,298","31,17,866","78.14"
"NIFTYBEES","EQ","30-Jun-2023","208.18","209.60","210.91","208.09","210.69","210.61","209.91","46,71,280","98,05,46,650.48","35,858","32,99,122","70.63"
"NIFTYBEES","EQ","03-Jul-2023","210.61","213.45","213.45","210.90","212.48","212.30","211.96","42,45,579","89,98,96,322.61","72,125","34,18,606","80.52"
"NIFTYBEES","EQ","04-Jul-2023","212.30","218.65","218.65","212.00","213.02","213.06","212.67","25,17,660","53,54,30,891.33","38,790","17,18,404","68.25"
"NIFTYBEES","EQ","05-Jul-2023","213.06","218.00","218.00","212.30","213.05","212.92","212.83","17,43,789","37,11,37,773.34","29,056","10,82,429","62.07"
"NIFTYBEES","EQ","06-Jul-2023","212.92","218.00","219.30","212.05","213.98","213.96","213.61","19,19,961","41,01,27,231.15","28,508","13,02,311","67.83"
"NIFTYBEES","EQ","07-Jul-2023","213.96","220.40","220.40","212.50","212.95","212.72","213.10","33,26,931","70,89,55,150.19","38,344","23,60,897","70.96"
"NIFTYBEES","EQ","10-Jul-2023","212.72","218.40","218.40","210.15","212.75","212.64","212.88","28,15,814","59,94,34,055.06","39,055","20,67,256","73.42"
"NIFTYBEES","EQ","11-Jul-2023","212.64","219.00","219.00","212.66","213.64","213.45","213.76","19,86,082","42,45,46,232.79","28,641","11,78,601","59.34"
"NIFTYBEES","EQ","12-Jul-2023","213.45","214.95","214.95","213.00","213.35","213.25","213.56","17,03,058","36,37,04,613.97","20,724","11,06,775","64.99"
"NIFTYBEES","EQ","13-Jul-2023","213.25","215.00","215.00","213.25","213.75","213.69","214.18","23,36,555","50,04,52,900.94","22,912","16,29,180","69.73"
"NIFTYBEES","EQ","14-Jul-2023","213.69","215.46","215.46","213.56","215.10","214.83","214.28","16,78,860","35,97,54,348.79","23,107","9,85,602","58.71"
"NIFTYBEES","EQ","17-Jul-2023","214.83","216.14","216.90","214.82","216.90","216.53","215.82","22,20,209","47,91,63,533.69","38,573","15,39,634","69.35"
"NIFTYBEES","EQ","18-Jul-2023","216.53","216.91","217.80","216.10","217.10","217.02","217.06","23,44,009","50,87,80,142.64","24,346","13,92,799","59.42"
"NIFTYBEES","EQ","19-Jul-2023","217.02","219.95","219.95","216.76","218.10","217.97","217.42","37,64,043","81,83,96,047.71","24,967","21,77,349","57.85"
"NIFTYBEES","EQ","20-Jul-2023","217.97","219.90","219.90","217.16","219.01","219.51","218.47","31,66,150","69,17,04,564.27","42,572","19,29,781","60.95"
"NIFTYBEES","EQ","21-Jul-2023","219.51","219.44","219.44","216.99","217.69","217.48","217.91","36,12,348","78,71,58,279.67","36,997","26,42,937","73.16"
"NIFTYBEES","EQ","24-Jul-2023","217.48","219.38","219.38","216.54","216.71","216.73","217.28","20,06,947","43,60,71,213.41","31,551","12,47,000","62.13"
"NIFTYBEES","EQ","25-Jul-2023","216.73","219.95","219.95","216.06","216.75","216.64","216.65","14,62,278","31,68,07,629.01","23,836","7,62,006","52.11"
"NIFTYBEES","EQ","26-Jul-2023","216.64","219.70","219.70","213.65","217.80","217.72","217.84","31,64,932","68,94,60,313.74","21,657","22,54,311","71.23"
"NIFTYBEES","EQ","27-Jul-2023","217.72","219.70","219.70","211.20","217.00","216.63","217.19","29,36,838","63,78,52,959.40","33,251","22,93,326","78.09"
"NIFTYBEES","EQ","28-Jul-2023","216.63","218.78","218.78","215.50","216.35","216.34","215.99","24,63,367","53,20,69,876.86","29,092","13,87,325","56.32"
"NIFTYBEES","EQ","31-Jul-2023","216.34","218.78","218.78","216.00","217.65","217.58","217.02","17,92,693","38,90,45,065.54","29,366","12,13,019","67.66"
"NIFTYBEES","EQ","01-Aug-2023","217.58","218.00","218.40","217.02","217.30","217.23","217.45","19,14,323","41,62,68,505.60","31,821","11,91,693","62.25"
"NIFTYBEES","EQ","02-Aug-2023","217.23","217.22","217.45","214.00","215.20","215.10","215.18","55,85,468","1,20,18,53,111.27","52,048","37,62,179","67.36"
"NIFTYBEES","EQ","03-Aug-2023","215.10","216.52","216.52","212.15","213.70","213.56","213.95","47,39,271","1,01,39,62,220.99","43,007","33,98,145","71.70"
"NIFTYBEES","EQ","04-Aug-2023","213.56","215.85","215.85","212.77","215.06","215.04","214.67","15,35,406","32,96,09,480.21","22,801","10,06,892","65.58"
"NIFTYBEES","EQ","07-Aug-2023","215.04","216.21","216.21","215.05","215.97","215.95","215.65","22,40,935","48,32,53,120.86","37,091","15,62,716","69.73"
"NIFTYBEES","EQ","08-Aug-2023","215.95","216.47","216.70","209.45","215.85","215.79","215.82","20,02,806","43,22,35,898.77","19,906","14,74,303","73.61"
"NIFTYBEES","EQ","09-Aug-2023","215.79","216.85","216.85","212.80","216.50","216.49","215.39","20,25,167","43,61,92,790.66","22,818","15,20,530","75.08"
"NIFTYBEES","EQ","10-Aug-2023","216.49","217.27","217.27","215.01","215.45","215.33","215.57","21,00,995","45,29,01,973.43","25,814","15,58,558","74.18"
"NIFTYBEES","EQ","11-Aug-2023","215.33","217.21","217.21","214.25","214.50","214.40","214.62","23,85,921","51,20,65,839.28","28,017","17,49,126","73.31"
"NIFTYBEES","EQ","14-Aug-2023","214.40","217.82","217.82","211.65","214.45","214.51","213.58","28,78,972","61,48,77,213.98","39,005","17,92,489","62.26"
"NIFTYBEES","EQ","16-Aug-2023","214.51","218.47","218.47","212.68","214.58","214.57","214.01","16,04,526","34,33,89,651.53","33,247","9,68,904","60.39"
"NIFTYBEES","EQ","17-Aug-2023","214.57","218.17","218.17","208.15","213.60","213.70","213.79","15,82,007","33,82,12,810.82","23,177","12,41,597","78.48"
"NIFTYBEES","EQ","18-Aug-2023","213.70","218.19","218.19","212.31","212.90","213.00","212.93","24,86,828","52,95,23,117.37","32,927","17,73,661","71.32"
"NIFTYBEES","EQ","21-Aug-2023","213.00","213.69","213.98","212.00","213.35","213.50","213.51","29,77,924","63,58,04,559.96","31,315","25,64,945","86.13"
"NIFTYBEES","EQ","22-Aug-2023","213.50","218.11","218.11","213.10","213.58","213.43","213.55","19,83,391","42,35,50,816.46","18,414","14,84,825","74.86"
"NIFTYBEES","EQ","23-Aug-2023","213.43","216.40","216.40","212.78","214.27","214.37","214.07","15,50,674","33,19,51,176.18","25,108","12,23,248","78.88"
"NIFTYBEES","EQ","24-Aug-2023","214.37","218.47","218.47","213.33","213.62","213.77","214.67","25,26,797","54,24,22,884.21","25,137","17,10,631","67.70"
"NIFTYBEES","EQ","25-Aug-2023","213.77","207.35","214.48","207.35","212.51","212.76","212.79","26,46,009","56,30,48,682.95","27,478","19,25,431","72.77"
"NIFTYBEES","EQ","28-Aug-2023","212.76","217.47","217.47","211.00","213.09","212.87","213.08","15,48,577","32,99,76,661.16","36,129","9,73,065","62.84"
"NIFTYBEES","EQ","29-Aug-2023","212.87","217.47","217.47","212.80","213.36","213.16","213.12","13,14,371","28,01,19,549.59","18,034","8,44,878","64.28"
"NIFTYBEES","EQ","30-Aug-2023","213.16","217.47","217.47","207.65","213.75","213.54","213.80","15,83,782","33,86,10,581.76","16,264","11,55,774","72.98"
